Row,scenario,fracPos,fracNeg,rho,FDRmethod,numTests,numRealizations,effectSize,CImethod,q,alpha,seed,BothSides_canonical_mean,BothSides_canonical_lower,BothSides_canonical_upper,BothSides_combined_mean,BothSides_combined_lower,BothSides_combined_upper,BothSides_twotailed_mean,BothSides_twotailed_lower,BothSides_twotailed_upper,BothSides_split2tail_mean,BothSides_split2tail_lower,BothSides_split2tail_upper,BothSides_old_mean,BothSides_old_lower,BothSides_old_upper,BothSides_question11_mean,BothSides_question11_lower,BothSides_question11_upper,BothSides_question12_mean,BothSides_question12_lower,BothSides_question12_upper,PosSide_canonical_mean,PosSide_canonical_lower,PosSide_canonical_upper,PosSide_combined_mean,PosSide_combined_lower,PosSide_combined_upper,PosSide_twotailed_mean,PosSide_twotailed_lower,PosSide_twotailed_upper,PosSide_split2tail_mean,PosSide_split2tail_lower,PosSide_split2tail_upper,PosSide_old_mean,PosSide_old_lower,PosSide_old_upper,PosSide_question11_mean,PosSide_question11_lower,PosSide_question11_upper,PosSide_question12_mean,PosSide_question12_lower,PosSide_question12_upper,NegSide_canonical_mean,NegSide_canonical_lower,NegSide_canonical_upper,NegSide_combined_mean,NegSide_combined_lower,NegSide_combined_upper,NegSide_twotailed_mean,NegSide_twotailed_lower,NegSide_twotailed_upper,NegSide_split2tail_mean,NegSide_split2tail_lower,NegSide_split2tail_upper,NegSide_old_mean,NegSide_old_lower,NegSide_old_upper,NegSide_question11_mean,NegSide_question11_lower,NegSide_question11_upper,NegSide_question12_mean,NegSide_question12_lower,NegSide_question12_upper,elapsed
bh_indep_balanced_pwr,4,0.25,0.25,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.7638795,0.763111079516719,0.76464792048328,0.763798499999999,0.763029730832351,0.764567269167648,0.763798499999999,0.763029730832351,0.764567269167648,0.763897,0.763126714395194,0.764667285604806,0.646604,0.645755648505671,0.647452351494328,0.646279999999999,0.645433866304173,0.647126133695826,0.646275999999999,0.645427815422414,0.647124184577585,0.764027422244703,0.762959336042111,0.765095508447295,0.764096893912147,0.763119876962514,0.765073910861781,0.764096893912147,0.763119876962514,0.765073910861781,0.764237932253495,0.763163957219111,0.765311907287879,0.764027422244703,0.762959336042111,0.765095508447295,0.646564414035045,0.645389768878892,0.647739059191198,0.646445148999632,0.64527518708944,0.647615110909824,0.765822220174099,0.764725137527778,0.76691930282042,0.765591097775867,0.764584979953499,0.766597215598234,0.765591097775867,0.764584979953499,0.766597215598234,0.765647489673155,0.764549884571399,0.766745094774912,0.648205851239054,0.646983698686079,0.64942800379203,0.647765582597451,0.6465417747334,0.648989390461501,0.647876357438067,0.646655069775727,0.649097645100407,3.05973079166667
bh_indep_negonly_pwr,3,0,0.25,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.776173,0.775036741274533,0.777309258725467,0.667649,0.666365901998692,0.668932098001307,0.667649,0.666365901998692,0.668932098001307,0.735696,0.734536537965598,0.736855462034401,0.651791,0.650566296332037,0.653015703667962,0.612403,0.611147069663744,0.613658930336256,0.65142,0.650196142937051,0.652643857062948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.777163659325784,0.77602991676162,0.778297401889948,0.655691354007793,0.654469854998861,0.656912853016724,0.655691354007793,0.654469854998861,0.656912853016724,0.736602443860325,0.735445139537939,0.73775974818271,0.652661109866374,0.651437548003632,0.653884671729116,0.613199843497056,0.611944035397769,0.614455651596343,0.652289588107074,0.651066872702352,0.653512303511795,3.06813345833333
bh_indep_null_pwr,1,0,0,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.20363466666667
bh_indep_posonly_pwr,2,0.25,0,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.775969,0.774831837691185,0.777106162308814,0.667054999999999,0.665798080554308,0.668311919445691,0.667054999999999,0.665798080554308,0.668311919445691,0.735558,0.734393644834946,0.736722355165054,0.651344999999999,0.650144961046124,0.652545038953875,0.61145,0.610220817520172,0.612679182479829,0.650955,0.649756527394402,0.652153472605597,0.776901009073608,0.775763388899089,0.778038629248126,0.655227859763741,0.654024834760899,0.656430884766583,0.655227859763741,0.654024834760899,0.656430884766583,0.736415463900503,0.735250135977522,0.737580791823483,0.776901009073608,0.775763388899089,0.778038629248126,0.612194487778028,0.610963483300584,0.613425492255471,0.651764363335392,0.650565174504751,0.652963552166032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.07945570833333
bh_indep_unbalanced_pwr,5,0.1,0.4,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.7872715,0.786540082707627,0.788002917292373,0.7638015,0.763030572623448,0.764572427376551,0.7638015,0.763030572623448,0.764572427376551,0.7675765,0.766822758088356,0.768330241911643,0.6752305,0.674419737395396,0.676041262604603,0.652697499999999,0.651861693306045,0.653533306693954,0.6747775,0.673965895662752,0.675589104337247,0.620292473792848,0.618257549392306,0.622327398193389,0.793590199194326,0.792004681827876,0.795175716560776,0.793590199194326,0.792004681827876,0.795175716560776,0.687128857971728,0.685171576918727,0.689086139024728,0.620292473792848,0.618257549392306,0.622327398193389,0.559071801779883,0.556994751998948,0.561148851560819,0.497412541743352,0.495298620185212,0.499526463301492,0.830373844596136,0.829606099209037,0.831141589983234,0.757668860845046,0.75685560781974,0.758482113870353,0.757668860845046,0.75685560781974,0.758482113870353,0.789010761814931,0.788201770516129,0.789819753113734,0.720823461524914,0.719946238454519,0.721700684595309,0.677228114186655,0.676309154351833,0.678147074021477,0.72028210481877,0.719403981493595,0.721160228143945,3.05528391666667
bh_posdep_balanced_pwr,9,0.25,0.25,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.748587,0.746626272165148,0.750547727834851,0.764275999999999,0.762993316159651,0.765558683840348,0.764275999999999,0.762993316159651,0.765558683840348,0.759339,0.757707374952569,0.760970625047431,0.6279995,0.626206329742638,0.629792670257362,0.636102,0.634514357940997,0.637689642059002,0.6276725,0.625882065265657,0.629462934734343,0.746947763091652,0.735976301269372,0.757919224913933,0.763479247629248,0.755073966545824,0.771884528712672,0.763479247629248,0.755073966545824,0.771884528712672,0.758138201715217,0.748951228857658,0.767325174572776,0.746947763091652,0.735976301269372,0.757919224913933,0.63562567089131,0.625475962088935,0.645775379693685,0.627091706539386,0.615528636484119,0.638654776594653,0.75104895706364,0.740226134812227,0.761871779315053,0.766244841407569,0.757938894629379,0.774550788185759,0.766244841407569,0.757938894629379,0.774550788185759,0.761553737370272,0.752511126387475,0.77059634835307,0.629116389530903,0.617656312959901,0.640576466101904,0.637232629462672,0.627170050250724,0.647295208674619,0.628784283254044,0.617329607552187,0.6402389589559,2.96772991666667
bh_posdep_negonly_pwr,8,0,0.25,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.773506,0.761560929804447,0.785451070195552,0.65162,0.639956922274186,0.663283077725814,0.65162,0.639956922274186,0.663283077725814,0.739635,0.72994162954031,0.749328370459691,0.64422,0.632209397663702,0.656230602336298,0.610969,0.600636662318981,0.621301337681019,0.643882,0.631878231067797,0.655885768932204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.773139014782832,0.761139626868475,0.78513840269719,0.646907177603506,0.635062874515698,0.658751480691315,0.646907177603506,0.635062874515698,0.658751480691315,0.73980406879579,0.730101944289132,0.749506193302448,0.644320642470974,0.632305719148469,0.656335565793479,0.611184004332475,0.600857557734416,0.621510450930534,0.643982491839078,0.631974399672193,0.655990584005962,3.01180916666667
bh_posdep_null_pwr,6,0,0,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.11664420833333
bh_posdep_posonly_pwr,7,0.25,0,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.75919,0.747584840286073,0.770795159713928,0.637313,0.625851549344117,0.648774450655883,0.637313,0.625851549344117,0.648774450655883,0.727973,0.718569225418725,0.737376774581276,0.629527,0.617713475478519,0.641340524521481,0.59896,0.588806126901766,0.609113873098235,0.629189,0.617380941921722,0.640997058078278,0.75901406095422,0.747361982020646,0.770666139887794,0.632442835391622,0.6208018281472,0.644083842636044,0.632442835391622,0.6208018281472,0.644083842636044,0.728207744070567,0.718798476911076,0.737617011230058,0.75901406095422,0.747361982020646,0.770666139887794,0.599203168387198,0.589056105370586,0.60935023140381,0.629339074705825,0.617529405370599,0.64114874404105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.00953558333333
bh_posdep_unbalanced_pwr,10,0.1,0.4,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.772982,0.767895713105356,0.778068286894645,0.757061,0.751543114262709,0.762578885737291,0.757061,0.751543114262709,0.762578885737291,0.762203,0.757265509544409,0.767140490455591,0.657415,0.651363217127217,0.663466782872783,0.641463,0.635606083133695,0.647319916866305,0.656949,0.650898916747189,0.662999083252811,0.609050599814654,0.596567958365441,0.621533241263867,0.788282208654976,0.780187125905409,0.796377291404543,0.788282208654976,0.780187125905409,0.796377291404543,0.688473643670045,0.678594316964622,0.698352970375469,0.609050599814654,0.596567958365441,0.621533241263867,0.552636129911932,0.542375937116959,0.562896322706906,0.484576394886319,0.472505076329897,0.496647713442742,0.814543348119856,0.805352314166511,0.8237343820732,0.749904679629861,0.741143156567668,0.758666202692055,0.749904679629861,0.741143156567668,0.758666202692055,0.781258842913498,0.772834886383169,0.789682799443827,0.70097646252342,0.690581354594852,0.711371570451987,0.664073227561857,0.654361173554049,0.673785281569664,0.70042358997848,0.690031263860525,0.710815916096436,2.97185133333333
