Row,scenario,fracPos,fracNeg,rho,FDRmethod,numTests,numRealizations,effectSize,CImethod,q,alpha,seed,BothSides_canonical_mean,BothSides_canonical_lower,BothSides_canonical_upper,BothSides_combined_mean,BothSides_combined_lower,BothSides_combined_upper,BothSides_twotailed_mean,BothSides_twotailed_lower,BothSides_twotailed_upper,BothSides_split2tail_mean,BothSides_split2tail_lower,BothSides_split2tail_upper,BothSides_canonicalbb_mean,BothSides_canonicalbb_lower,BothSides_canonicalbb_upper,BothSides_split2tailbb_mean,BothSides_split2tailbb_lower,BothSides_split2tailbb_upper,PosSide_canonical_mean,PosSide_canonical_lower,PosSide_canonical_upper,PosSide_combined_mean,PosSide_combined_lower,PosSide_combined_upper,PosSide_twotailed_mean,PosSide_twotailed_lower,PosSide_twotailed_upper,PosSide_split2tail_mean,PosSide_split2tail_lower,PosSide_split2tail_upper,PosSide_canonicalbb_mean,PosSide_canonicalbb_lower,PosSide_canonicalbb_upper,PosSide_split2tailbb_mean,PosSide_split2tailbb_lower,PosSide_split2tailbb_upper,NegSide_canonical_mean,NegSide_canonical_lower,NegSide_canonical_upper,NegSide_combined_mean,NegSide_combined_lower,NegSide_combined_upper,NegSide_twotailed_mean,NegSide_twotailed_lower,NegSide_twotailed_upper,NegSide_split2tail_mean,NegSide_split2tail_lower,NegSide_split2tail_upper,NegSide_canonicalbb_mean,NegSide_canonicalbb_lower,NegSide_canonicalbb_upper,NegSide_split2tailbb_mean,NegSide_split2tailbb_lower,NegSide_split2tailbb_upper,elapsed
bh_indep_balanced_pwr,4,0.25,0.25,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.764328499999999,0.763544377657247,0.765112622342751,0.764354,0.763569917977768,0.765138082022232,0.764354,0.763569917977768,0.765138082022232,0.7643075,0.763524826955464,0.765090173044535,0.764328499999999,0.763544377657247,0.765112622342751,0.7643075,0.763524826955464,0.765090173044535,0.764608421331078,0.763502369516197,0.76571447314596,0.764752009911182,0.763744561556148,0.765759458266215,0.764752009911182,0.763744561556148,0.765759458266215,0.764684507407381,0.763583622281321,0.765785392533442,0.764608421331078,0.763502369516197,0.76571447314596,0.764684507407381,0.763583622281321,0.765785392533442,0.766110101278214,0.7650120373902,0.767208165166229,0.76601797947175,0.765013774446983,0.767022184496517,0.76601797947175,0.765013774446983,0.767022184496517,0.765992392931638,0.764886034682499,0.767098751180777,0.766110101278214,0.7650120373902,0.767208165166229,0.765992392931638,0.764886034682499,0.767098751180777,4.420156625
bh_indep_negonly_pwr,3,0,0.25,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.777569,0.776423768993326,0.778714231006673,0.668014,0.666721931453394,0.669306068546606,0.668014,0.666721931453394,0.669306068546606,0.736484,0.735304332857611,0.737663667142389,0.658028999999999,0.656331834732902,0.659726165267097,0.619595,0.617827630201629,0.621362369798372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.778539599526218,0.777394242365665,0.779684956686772,0.656295265179877,0.655053903198367,0.657536627161386,0.656295265179877,0.655053903198367,0.657536627161386,0.73738215870611,0.736201825995507,0.738562491416713,0.658834036401383,0.657149517134682,0.660518555668085,0.620332019430123,0.618577538169266,0.62208650069098,4.02408820833333
bh_indep_null_pwr,1,0,0,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.56192525
bh_indep_posonly_pwr,2,0.25,0,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.775165,0.774039019186673,0.776290980813326,0.666396,0.665121702395616,0.667670297604383,0.666396,0.665121702395616,0.667670297604383,0.734829,0.733665485107068,0.735992514892933,0.655931,0.654314089217223,0.657547910782776,0.617955000000001,0.616258261199392,0.619651738800609,0.776081348315989,0.774954494936486,0.777208201695491,0.654755142811155,0.653536472873852,0.655973812748457,0.654755142811155,0.653536472873852,0.655973812748457,0.735669992185197,0.734506109994656,0.736833874375739,0.656691781279654,0.65508655512013,0.658297007439177,0.618645017663951,0.616961078316215,0.620328957011686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.99405070833333
bh_indep_unbalanced_pwr,5,0.1,0.4,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.787545499999999,0.786768463749352,0.788322536250647,0.763912999999999,0.763098610693378,0.764727389306621,0.763912999999999,0.763098610693378,0.764727389306621,0.7684555,0.767659689595294,0.769251310404706,0.787545499999999,0.786768463749352,0.788322536250647,0.7684555,0.767659689595294,0.769251310404706,0.621548275401259,0.619479711137598,0.62361683966492,0.793549728791885,0.791950079323442,0.795149378260328,0.793549728791885,0.791950079323442,0.795149378260328,0.688869240960094,0.686887391580623,0.690851090339566,0.621548275401259,0.619479711137598,0.62361683966492,0.688869240960094,0.686887391580623,0.690851090339566,0.830352212305735,0.829543032342881,0.831161392268588,0.757773393692945,0.756920296852693,0.758626490533198,0.757773393692945,0.756920296852693,0.758626490533198,0.789628763869247,0.788777959675027,0.790479568063467,0.830352212305735,0.829543032342881,0.831161392268588,0.789628763869247,0.788777959675027,0.790479568063467,4.40621775
bh_posdep_balanced_pwr,9,0.25,0.25,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.746022,0.743993453029456,0.748050546970544,0.762805999999999,0.761499939197495,0.764112060802504,0.762805999999999,0.761499939197495,0.764112060802504,0.757759,0.756096317619379,0.75942168238062,0.7455325,0.743523156926128,0.747541843073872,0.757477,0.755811335757699,0.7591426642423,0.741674158711539,0.730485347570529,0.752862969852549,0.760057948604686,0.751509379837492,0.768606517371881,0.760057948604686,0.751509379837492,0.768606517371881,0.754319126636763,0.744981198569177,0.76365705470435,0.741328158711539,0.730182206768206,0.752474110654872,0.754210126636763,0.74488474029425,0.763535512979277,0.751228372755692,0.740075210851593,0.762381534659792,0.766772421303746,0.758203432024418,0.775341410583074,0.766772421303746,0.758203432024418,0.775341410583074,0.762258725997103,0.75296093147611,0.771556520518097,0.750595372755692,0.739539117074175,0.76165162843721,0.761803725997103,0.752579475279427,0.77102797671478,4.30300641666667
bh_posdep_negonly_pwr,8,0,0.25,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.769601,0.757680849718883,0.781521150281117,0.64838,0.636719892412672,0.660040107587327,0.64838,0.636719892412672,0.660040107587327,0.736977,0.727338081916808,0.746615918083192,0.643308,0.631476602370272,0.655139397629729,0.610755,0.600608722579408,0.620901277420591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.769033810551895,0.757034206264701,0.781033414839089,0.643444320328914,0.631589390045935,0.655299250611892,0.643444320328914,0.631589390045935,0.655299250611892,0.737042902583086,0.727379202247391,0.74670660291878,0.642767422101844,0.630883053640085,0.654651790563603,0.610671816114636,0.600503525415368,0.620840106813905,3.95587154166667
bh_posdep_null_pwr,6,0,0,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.508741
bh_posdep_posonly_pwr,7,0.25,0,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.776201,0.76455600777564,0.78784599222436,0.652712,0.64118792740945,0.66423607259055,0.652712,0.64118792740945,0.66423607259055,0.74148,0.732046619133094,0.750913380866906,0.647833,0.636151327776153,0.659514672223848,0.615053,0.605030269692087,0.625075730307913,0.775744926007608,0.764044987952632,0.787444864062585,0.647865069548634,0.636147240804013,0.659582898293255,0.647865069548634,0.636147240804013,0.659582898293255,0.741513842829023,0.732058620813083,0.750969064844963,0.647516986561358,0.635798104328705,0.659235868794011,0.614950476484972,0.604909893395927,0.624991059574018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.94520716666667
bh_posdep_unbalanced_pwr,10,0.1,0.4,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.772394,0.767119298757445,0.777668701242556,0.755951,0.750261247855946,0.761640752144054,0.755951,0.750261247855946,0.761640752144054,0.760993,0.755945685417441,0.766040314582559,0.771542,0.766302745543288,0.776781254456712,0.7607815,0.755733921230924,0.765829078769075,0.607465388525762,0.594540477196986,0.620390299854538,0.78636894338008,0.777827972893009,0.794909913867151,0.78636894338008,0.777827972893009,0.794909913867151,0.684999371962455,0.674527198956508,0.695471544968403,0.606815388525762,0.594008306405453,0.61962247064607,0.684511871962455,0.674134344785502,0.694889399139409,0.814243945390439,0.804696761148125,0.823791129632752,0.749047765383972,0.739964840171599,0.758130690596346,0.749047765383972,0.739964840171599,0.758130690596346,0.78065889991316,0.77195569129442,0.7893621085319,0.813341445390439,0.803869186446248,0.82281370433463,0.78051639991316,0.771832240454827,0.789200559371492,4.33226304166667
